#;userid;user_name;real_name;nationality;car;time3;super_rally;penalty
1;133335;KOPEC Patryk;Patryk Kopeć | AK-SPORT WRT;PL;Skoda Fabia RS Rally2;9:59.070;0;00.000
2;16811;JEREZ Kilian;Kilian Jerez;ES;Toyota GR Yaris Rally2;10:04.393;0;00.000
3;57637;MARSALEK Radek;Radek Maršálek;CZ;Skoda Fabia RS Rally2;10:22.470;0;00.000
4;18930;Vini2iniV;Vinícius "Tim" dos Santos;BR;Skoda Fabia RS Rally2;10:25.310;0;00.000
5;47642;AitorE36;Aitor Pascual;ES;Skoda Fabia RS Rally2;10:29.869;0;00.000
6;116139;MANSO Isaac;Isaac Manso;ES;Skoda Fabia RS Rally2;10:35.123;0;00.000
7;145643;joangarciiaa;Joan García;ES;Hyundai i20 N Rally2;10:53.693;0;00.000
8;119696;Zurek;Zipero;PL;Skoda Fabia RS Rally2;10:54.885;0;00.000
9;128909;DONAIRE jr;Juan Ramón;ES;Ford Fiesta Rally2;11:11.698;0;00.000
10;76369;Jperotti;PEROTTI Aurelio;ES;Skoda Fabia RS Rally2;11:12.038;0;00.000
11;35774;NicoBlc;Nicolas Blanc;FR;Skoda Fabia RS Rally2;11:13.501;0;00.000
12;60115;Marta Pabl0;Pablo Martin Nobel;ES;Skoda Fabia RS Rally2;11:38.227;0;00.000
13;147305;Zbrana;Jan Zbranek;CZ;Skoda Fabia RS Rally2;12:02.039;0;00.000
14;131078;albes;alfred besler;DE;Ford Fiesta Rally2;12:02.378;0;00.000
15;14461;CLAVERO Oscar;CLAVERO Oscar ;ES;Hyundai i20 N Rally2;12:27.201;0;00.000
16;148181;Haritz;Haritz;PS;Toyota GR Yaris Rally2;12:36.930;0;00.000
17;56729;LIPOWCZAN Tomasz 83;LIPOWCZAN Tomasz;PL;Skoda Fabia RS Rally2;12:55.251;0;00.000
18;16608;AHUMADA Juan Carlos;Juan Carlos Ahumada;ES;Toyota GR Yaris Rally2;13:18.141;0;00.000
